FSA,Loss Dates,Number of Exposure_at_claim,$ Average Exposure_at_claim,Loss Frequency,Total $ Loss,event_start,event_end,climate_days_available,window_coverage_fraction,fwi_mean,fwi_max,fwi_p95,days_fwi_above_30,dc_max,dmc_max,ffmc_max,isi_max,bui_mean,Number of Exposure_current_portfolio,$ Average Exposure_current_portfolio,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T3P,"July 22 - August 17, 2024",15600,109038.5548002034,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.39954545529798013,2.2123003005981445,1.2915300488471981,0,112.11138916015624,7.352542877197266,81.83527374267578,2.176840782165528,5.210756788651149,7000,96338.24234410036,31.0,0.7909214136939201,90741.0,8.0
T3R,"July 22 - August 17, 2024",15700,113921.18588198406,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.3761089191611537,1.914028157332818,1.3601294895868017,0,108.41598264567456,6.2690693869314265,81.32927260478718,2.0935979772411577,4.897737229159675,10500,109390.20043377893,31.0,0.5238242779683523,135555.0,12.0
T3S,"July 22 - August 17, 2024",1100,101879.32156475818,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.7534974745131977,3.126539468765259,2.812522220611572,0,144.32675170898438,8.371832847595215,83.01177978515625,2.725522041320801,6.312153276469973,200,90807.93396495625,31.0,0.5892829657644187,45479.0,8.0
T3T,"July 22 - August 17, 2024",100,89691.80076014022,0.0,0.0,2024-07-22,2024-08-17,0,0.0,,,,0,,,,,,100,99075.5475876244,,,,
T3Z,"July 22 - August 17, 2024",5700,219848.38944805687,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.3813879450662242,2.075191323486184,1.520480705494619,0,99.87886340690704,5.737433789232994,81.07390557264462,2.38192685136327,4.53513510241386,5500,172356.9119351768,31.0,0.3458348644017157,582382.0,13.0
T4A,"July 22 - August 17, 2024",8200,99957.18183042284,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.42685659411283855,2.55211495931444,1.974458242561731,0,156.75310719081105,6.944626393965379,82.34534545693562,2.292792395139838,4.63718807009316,7600,84832.26326027226,31.0,0.8146691735990343,552601.0,10.0
T4B,"July 22 - August 17, 2024",25000,98657.15125711275,0.0004,15321.46459700813,2024-07-22,2024-08-17,27,1.0,0.2804059655233374,1.4558154880571896,0.8419932618356628,0,106.99532430136746,5.421472832048203,80.88266727585638,1.925706832204708,4.063859118256295,25100,83371.94463203147,31.0,0.6675154695953608,308670.0,11.0
T4C,"July 22 - August 17, 2024",17700,115301.3379234548,0.00169,8664.784867561357,2024-07-22,2024-08-17,27,1.0,0.2687290278604817,1.270567138109759,1.0016359967675186,0,95.40983889794904,4.844346400370053,79.65009575035268,2.0333333943958296,3.7341010431324113,16100,97592.17096766183,31.0,0.3762163161801402,789474.0,12.0
T4E,"July 22 - August 17, 2024",2500,123462.77842053934,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13973264861122145,0.8673680238315216,0.591432704238854,0,135.19053918784266,3.8060619979059176,78.38770484732136,1.7147490818229825,2.2882979880135745,1200,107168.55589281976,31.0,0.7703552878162022,771065.0,13.0
T4G,"July 22 - August 17, 2024",5800,84662.85172750252,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.15720204722724387,0.9109924009004692,0.6473083192692735,0,124.02901011131308,4.19673518310512,77.95721327346992,1.6933069498944502,2.5507692856581374,6500,72890.30388869376,31.0,0.7934816477109627,1222763.0,13.0
T4H,"July 22 - August 17, 2024",5500,90616.98341921576,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.19905789040701566,0.9634338862036538,0.8192120811129542,0,117.77649490327556,4.53684050920224,78.4492230844675,1.6718744497859075,3.0364665943103937,6400,80183.63180473303,31.0,0.8545174280354176,1171618.0,12.0
T4J,"July 22 - August 17, 2024",4600,97191.21157587253,0.0,0.0,2024-07-22,2024-08-17,27,1.0,0.13784687346553284,0.7994764937849861,0.5387297446719549,0,163.0889436752114,3.396405398353126,75.64540289095092,1.519902045025336,2.3195719006241253,5600,81284.07217408663,31.0,0.8062125655036406,1161195.0,12.0
