FSA,Number of Exposure,$ Average Exposure,dominant_fuel_code,dominant_fuel_pct,n_valid_pixels,n_fuel_classes_present
T5C,6000,71676.41685711774,101.0,1.0,6258.0,1.0
T5E,12300,69857.35950374111,101.0,0.998979666205087,13721.0,3.0
T5G,4900,64534.74038227577,101.0,0.9836099160008196,9762.0,7.0
T5H,8800,45440.98502049295,101.0,0.913408888322934,7853.0,10.0
T5J,26000,56562.57488253161,101.0,0.9663366336633664,1515.0,4.0
T5K,14600,35079.15304133789,101.0,0.8369921776431996,3963.0,10.0
T5L,7000,67853.88729653365,101.0,0.9973568281938326,11350.0,5.0
T5M,6900,62009.33013115402,101.0,0.999094271265756,13249.0,5.0
T5N,7900,79538.87630934632,101.0,0.8459036144578314,8300.0,9.0
T5P,7900,60080.06273455239,101.0,0.999737773698702,7627.0,3.0
T5R,11500,82617.03384574137,101.0,0.8269801084990959,13825.0,10.0
T5S,2600,73792.69448377409,101.0,0.7023110409910305,34227.0,11.0
T5T,29500,74741.29955933786,101.0,0.8466908113791694,34238.0,11.0
T5V,100,80031.9435289854,101.0,0.7881339433466368,20546.0,10.0
T5W,8000,73408.2096384527,101.0,0.8751281849017907,12677.0,9.0
T5X,15400,79719.91572973174,101.0,0.8578842065774666,15994.0,8.0
T5Y,19400,75689.82041218002,31.0,0.5825495923476921,124616.0,11.0
T5Z,12400,93111.61366494816,101.0,0.77804788213628,13575.0,8.0
T6A,6800,77926.96082068795,101.0,0.8781614020358904,9529.0,10.0
T6B,4600,75393.89924011366,101.0,0.9559019385389436,20273.0,10.0
T6C,10500,71323.7001793778,101.0,0.923477694562032,9213.0,11.0
T6E,12400,53659.66851693373,101.0,0.9656607700312176,21142.0,10.0
T6G,6400,68685.09897879342,101.0,0.8695715962441315,6816.0,9.0
T6H,13800,72806.26451037085,101.0,0.8191975886082528,19242.0,11.0
T6J,19900,82498.56498950544,101.0,0.8322929671244278,24030.0,11.0
T6K,10300,71690.79257012371,101.0,0.9806081573197378,10984.0,5.0
T6L,19100,77053.15264802653,101.0,0.9458171745152356,18050.0,10.0
T6M,13400,106537.94898471003,101.0,0.3663585470641843,46086.0,12.0
T6N,100,74635.39362366908,101.0,0.813372281726712,3081.0,7.0
T6P,1000,43742.04337005211,101.0,0.7955836466917353,12499.0,10.0
T6R,22100,108485.14266658436,101.0,0.759915078146174,22138.0,11.0
T6S,100,100925.33681368832,101.0,0.7197322756569162,20170.0,11.0
T6T,14000,84416.00954394757,101.0,0.6694073110138412,16906.0,11.0
T6V,8600,85949.91934608093,101.0,0.6382556987115956,17153.0,9.0
T6W,27500,89259.23242646614,101.0,0.5060149052285664,51123.0,11.0
T6X,16600,85528.87907367297,31.0,0.6313463643038221,72187.0,11.0
T6Y,100,111114.69992627812,31.0,0.8511531013438178,68164.0,11.0
T7A,6600,82091.78462202376,2.0,0.2594816034781021,2410510.0,13.0
T7E,6400,73820.08072547406,2.0,0.2425730340223548,8788986.0,14.0
T7N,4700,75945.14474920777,31.0,0.7223782042401677,1162171.0,12.0
T7P,3900,71249.37950176964,31.0,0.8706184978793815,841264.0,12.0
T7S,5500,74519.43935433593,2.0,0.2690810596953604,2628680.0,14.0
T7V,6000,76599.96278906854,3.0,0.3604440219827624,4909847.0,14.0
T7X,21400,82279.4413523703,31.0,0.5817357188569521,359390.0,12.0
T7Y,4000,113675.41795108643,31.0,0.5289405008533837,959123.0,12.0
T7Z,12700,82470.417674773,31.0,0.4445839948813953,42199.0,12.0
T8A,23700,98368.48227457308,101.0,0.7142101551480959,45376.0,11.0
T8B,3000,154912.4554775575,31.0,0.4731821831256327,114588.0,12.0
T8C,1700,115518.45823750675,31.0,0.3734561113515277,140959.0,12.0
T8E,3800,109792.88669279242,31.0,0.5483720355921871,259158.0,12.0
T8G,2200,95753.76277698566,11.0,0.3736328330009447,333445.0,12.0
T8H,13600,84206.78957936486,101.0,0.8474600355239786,42225.0,11.0
T8L,13700,83056.00385939679,31.0,0.6536232568760384,507996.0,12.0
T8N,31300,92556.94631477408,101.0,0.6473235478419384,52663.0,11.0
T8R,6700,82297.77415703825,31.0,0.8241055132401375,784584.0,12.0
T8S,4400,72072.96670379165,101.0,0.3632159373888296,30921.0,13.0
T8T,2700,143696.90505246125,31.0,0.7601321948580434,425130.0,12.0
T8V,24200,72875.57265776674,101.0,0.5254465110808677,59517.0,12.0
T8W,10700,93803.9590766589,11.0,0.2840669495980964,368994.0,13.0
T8X,9600,88879.13642689475,31.0,0.682753964674834,374747.0,12.0
T9A,7600,77654.18331535641,31.0,0.8258632224460256,1115066.0,11.0
T9C,3400,80476.91886282063,31.0,0.9008646013073104,648507.0,12.0
T9E,15800,81016.8989083656,101.0,0.5594682686777018,46941.0,11.0
T9G,3300,80444.14923669066,31.0,0.4408804623076424,15401.0,11.0
T9H,17400,70804.31346021053,2.0,0.397761934210035,25332678.0,13.0
T9J,1500,73829.05928921171,11.0,0.2724881641241451,5703.0,11.0
T9K,20300,83074.9152182761,101.0,0.3800939387161708,44710.0,12.0
T9M,9400,74499.94683864542,11.0,0.6558212408030262,543793.0,12.0
T9N,6400,90017.57373052892,31.0,0.451300821050549,353815.0,12.0
T9S,4500,79002.2480585502,31.0,0.3843792659253377,2339762.0,13.0
T9V,10800,92203.4654093755,31.0,0.764067533735753,208903.0,11.0
T9W,4600,82093.54280024087,31.0,0.3849424239596716,835938.0,11.0
T9X,3600,85618.24476689688,31.0,0.8069744722324469,863922.0,10.0
