FSA,Loss Dates,Number of Exposure,$ Average Exposure,Loss Frequency,Total $ Loss
T6M,"May 3 - May 18, 2016",11000,96447.41539560453,0.00455,24674.396048672545
T6N,"May 3 - May 18, 2016",100,67566.44820588347,0,0
T6P,"May 3 - May 18, 2016",900,39599.10123452287,0,0
T6R,"May 3 - May 18, 2016",18100,98210.18443406594,0.00497,427547.49481738673
T6T,"May 3 - May 18, 2016",11500,76420.71220737409,0.0061,14963.395398145472
T6V,"May 3 - May 18, 2016",7100,77809.34074092112,0.00989,26285.13072218891
T6W,"May 3 - May 18, 2016",22600,80805.2187015887,0.01284,237114.2166822045
T6X,"May 3 - May 18, 2016",13600,77428.17847490982,0.00662,75849.61985687516
T7A,"May 3 - May 18, 2016",5400,74316.62170578414,0,0
T7E,"May 3 - May 18, 2016",5300,66828.35607515459,0,0
T7N,"May 3 - May 18, 2016",3900,68752.1488137281,0,0
T7P,"May 3 - May 18, 2016",3200,64501.13379292169,0,0
T7S,"May 3 - May 18, 2016",4500,67461.47631851521,0,0
T7V,"May 3 - May 18, 2016",4900,69344.94704291168,0,0
T7X,"May 3 - May 18, 2016",17500,74486.50489572721,0.00627,20085.92161163997
T7Y,"May 3 - May 18, 2016",3300,102908.8729403911,0.00608,0
T7Z,"May 3 - May 18, 2016",10400,74659.39326905362,0.0048,14062.51041480054
T8A,"May 3 - May 18, 2016",19500,89051.70375611895,0.00257,23805.600153712792
T8B,"May 3 - May 18, 2016",2500,140240.22506329036,0,0
T8C,"May 3 - May 18, 2016",1400,104577.35326866104,0,0
T8E,"May 3 - May 18, 2016",3100,99394.0680410698,0,0
T8G,"May 3 - May 18, 2016",1800,86684.63230477167,0.011,8388.921228202022
T8H,"May 3 - May 18, 2016",11200,76231.30810277603,0.01165,16249.680801447588
T8L,"May 3 - May 18, 2016",11200,75189.51680284197,0.00623,21820.385605805186
T8N,"May 3 - May 18, 2016",25600,83790.59606498377,0.00429,5907.248985492644
T8R,"May 3 - May 18, 2016",5500,74503.10134463604,0.00728,7639.068545025178
T8S,"May 3 - May 18, 2016",3600,65246.71654296431,0,0
T8T,"May 3 - May 18, 2016",2200,130086.93357374938,0.01833,5039.317706076871
T8V,"May 3 - May 18, 2016",19900,65973.30524285688,0,0
T8W,"May 3 - May 18, 2016",8800,84919.50045065374,0.00682,193431.65493008555
T8X,"May 3 - May 18, 2016",7900,80461.12275164573,0,0
T9A,"May 3 - May 18, 2016",6200,70299.31913272967,0.00642,66076.4895049518
T9C,"May 3 - May 18, 2016",2800,72854.70480039717,0,0
T9E,"May 3 - May 18, 2016",13000,73343.54169142357,0.00847,14546.535004320287
T9G,"May 3 - May 18, 2016",2700,72825.03888535155,0,0
T9H,"May 3 - May 18, 2016",14300,64098.221311521374,0.82537,33941733.94090169
T9J,"May 3 - May 18, 2016",1200,66836.48425177817,0.9,16231880.608727401
T9K,"May 3 - May 18, 2016",16700,75206.63700933092,0.92,28702139.6081357
T9M,"May 3 - May 18, 2016",7700,67443.82999834645,0.0259,33602.769662007544
T9N,"May 3 - May 18, 2016",5300,81491.7351913616,0.00379,10777.089383657532
T9S,"May 3 - May 18, 2016",3700,71519.70455882455,0.01094,156766.0159977059
T9V,"May 3 - May 18, 2016",8900,83470.59441259335,0,0
T9W,"May 3 - May 18, 2016",3800,74318.21336158813,0.00528,3209.5983218833253
T9X,"May 3 - May 18, 2016",3000,77509.08007118251,0.00676,22534.7524004766
T0A,"July 22 - August 17, 2024",23300,77905.80213322224,0,0
T0B,"July 22 - August 17, 2024",27100,88074.87004020567,0,0
T0C,"July 22 - August 17, 2024",26000,90286.97965993034,0.00038,3552.906199807753
T0E,"July 22 - August 17, 2024",18200,86952.88488127016,0.5,23410785.731121313
T0G,"July 22 - August 17, 2024",14100,81434.77493049917,0,0
T0H,"July 22 - August 17, 2024",26800,91498.7508937165,0,0
T0J,"July 22 - August 17, 2024",19000,87549.19931795607,0.00053,55157.20662177721
T0K,"July 22 - August 17, 2024",19400,89279.49280904238,0.00207,30130.9928100331
T0L,"July 22 - August 17, 2024",20600,106028.28055413891,0,0
T0M,"July 22 - August 17, 2024",28000,88512.39029736721,0.00107,5489.583026415212
T0P,"July 22 - August 17, 2024",600,73967.38932099147,0,0
T1A,"July 22 - August 17, 2024",10400,74767.80439120784,0,0
T1B,"July 22 - August 17, 2024",13200,92737.10368337232,0,0
T1C,"July 22 - August 17, 2024",3700,81462.15843966935,0,0
T1G,"July 22 - August 17, 2024",4200,90750.89223924905,0,0
T1H,"July 22 - August 17, 2024",11500,83301.32960823184,0,0
T1J,"July 22 - August 17, 2024",10900,84561.57841405287,0,0
T1K,"July 22 - August 17, 2024",19600,94438.90445408363,0,0
T1L,"July 22 - August 17, 2024",2200,64934.357052517495,0,0
T1M,"July 22 - August 17, 2024",4000,97550.54804016027,0,0
T1P,"July 22 - August 17, 2024",7500,94071.24895123747,0,0
T1R,"July 22 - August 17, 2024",6400,87652.87609157231,0,0
T1S,"July 22 - August 17, 2024",18100,131177.42200715942,0.00055,3791.5205660873453
T1V,"July 22 - August 17, 2024",8100,99448.80797871016,0,0
T1W,"July 22 - August 17, 2024",10900,90423.34663563114,0,0
T1X,"July 22 - August 17, 2024",10400,124573.75033977226,0,0
T1Y,"July 22 - August 17, 2024",18200,86470.71517589901,0,0
T1Z,"July 22 - August 17, 2024",900,182519.43440651524,0,0
T2A,"July 22 - August 17, 2024",20500,74302.23828994145,0,0
T2B,"July 22 - August 17, 2024",8900,74676.10747992473,0.00113,44642.55545851307
T2C,"July 22 - August 17, 2024",9700,88343.2488632214,0,0
T2E,"July 22 - August 17, 2024",19300,71933.01301997565,0,0
T2G,"July 22 - August 17, 2024",10600,50089.65286574792,0,0
